data_context,cohort_month,cohort_index,active_customers,orders,net_revenue,profit,cohort_size,month_0_revenue,retention_rate,revenue_retention_rate
Synthetic portfolio data,2023-02,9,79,135,10103.97,3202.1855,275,24550.47,0.2872727272727273,0.4115591269739438
Synthetic portfolio data,2023-02,10,91,135,8695.1,2636.719,275,24550.47,0.3309090909090909,0.3541724455784349
Synthetic portfolio data,2023-02,11,68,84,6456.45,2580.2565,275,24550.47,0.2472727272727272,0.2629868185822919
Synthetic portfolio data,2023-02,12,64,88,6537.99,2617.641,275,24550.47,0.2327272727272727,0.2663081399256307
Synthetic portfolio data,2023-03,0,196,221,13827.08,5599.047,196,13827.08,1.0,1.0
Synthetic portfolio data,2023-03,1,36,45,3586.1800000000003,1624.253,196,13827.08,0.1836734693877551,0.2593591705551715
Synthetic portfolio data,2023-03,2,50,65,5881.29,2432.557,196,13827.08,0.2551020408163265,0.4253457707628797
Synthetic portfolio data,2023-03,3,36,41,4358.66,1880.294,196,13827.08,0.1836734693877551,0.3152263529248402
Synthetic portfolio data,2023-03,4,42,52,4243.93,1562.14,196,13827.08,0.2142857142857142,0.3069288671216193
Synthetic portfolio data,2023-03,5,40,50,4625.37,1885.7715,196,13827.08,0.2040816326530612,0.3345153134284317
Synthetic portfolio data,2023-03,6,35,50,2785.34,1142.5195,196,13827.08,0.1785714285714285,0.2014409405311895
Synthetic portfolio data,2023-03,7,40,50,3170.38,1306.265,196,13827.08,0.2040816326530612,0.2292877454965184
Synthetic portfolio data,2023-03,8,54,77,4695.2,1431.3345,196,13827.08,0.2755102040816326,0.3395655481851555
Synthetic portfolio data,2023-03,9,65,98,5878.52,1999.417,196,13827.08,0.3316326530612244,0.4251454392395213
Synthetic portfolio data,2023-03,10,33,43,3761.16,1654.261,196,13827.08,0.1683673469387755,0.272014047796064
Synthetic portfolio data,2023-03,11,46,50,4395.48006837969,1862.6765683796896,196,13827.08,0.2346938775510204,0.3178892483720127
Synthetic portfolio data,2023-03,12,45,61,5183.46,2105.0075,196,13827.08,0.2295918367346938,0.3748774144649485
Synthetic portfolio data,2023-04,0,163,181,16312.94,6930.73,163,16312.94,1.0,1.0
Synthetic portfolio data,2023-04,1,26,32,2191.97,991.7125,163,16312.94,0.1595092024539877,0.1343700154601193
Synthetic portfolio data,2023-04,2,31,38,2563.03,956.168,163,16312.94,0.1901840490797546,0.1571163750985414
Synthetic portfolio data,2023-04,3,30,41,2740.33,1074.534,163,16312.94,0.1840490797546012,0.1679850474531261
Synthetic portfolio data,2023-04,4,20,27,1750.89,673.2955,163,16312.94,0.1226993865030674,0.1073313578055212
Synthetic portfolio data,2023-04,5,29,34,3378.1982265193105,1941.9232265193104,163,16312.94,0.1779141104294478,0.2070870257917524
Synthetic portfolio data,2023-04,6,33,38,3039.98,1357.531,163,16312.94,0.2024539877300613,0.186353900645745
Synthetic portfolio data,2023-04,7,45,63,4584.96,1414.4405,163,16312.94,0.2760736196319018,0.2810627636710489
Synthetic portfolio data,2023-04,8,45,60,4215.13,1290.0595,163,16312.94,0.2760736196319018,0.2583918042976925
Synthetic portfolio data,2023-04,9,24,30,1974.01,833.9235,163,16312.94,0.147239263803681,0.1210088432863726
Synthetic portfolio data,2023-04,10,22,26,1558.69,580.952,163,16312.94,0.1349693251533742,0.0955493001261575
Synthetic portfolio data,2023-04,11,36,42,2352.96,881.543,163,16312.94,0.2208588957055214,0.1442388680397279
Synthetic portfolio data,2023-04,12,22,28,2406.0699999999997,998.2345,163,16312.94,0.1349693251533742,0.1474945656638226
Synthetic portfolio data,2023-05,0,174,186,16674.82568120031,6973.937181200309,174,16674.82568120031,1.0,1.0
Synthetic portfolio data,2023-05,1,25,27,2432.11,794.446,174,16674.82568120031,0.1436781609195402,0.1458551979192222
Synthetic portfolio data,2023-05,2,27,31,1873.11,752.44,174,16674.82568120031,0.1551724137931034,0.1123316090861327
Synthetic portfolio data,2023-05,3,21,25,2293.26,1023.0305,174,16674.82568120031,0.1206896551724138,0.1375282742886775
Synthetic portfolio data,2023-05,4,32,37,2713.74,1256.5855,174,16674.82568120031,0.1839080459770115,0.1627447298030557
Synthetic portfolio data,2023-05,5,27,27,2499.25,1259.1205,174,16674.82568120031,0.1551724137931034,0.1498816268177081
Synthetic portfolio data,2023-05,6,46,63,5517.45,1559.5315,174,16674.82568120031,0.264367816091954,0.3308850182596233
Synthetic portfolio data,2023-05,7,44,58,3275.03,1118.621,174,16674.82568120031,0.2528735632183908,0.1964056514061412
Synthetic portfolio data,2023-05,8,28,30,2980.99,1266.85,174,16674.82568120031,0.160919540229885,0.1787718838560846
Synthetic portfolio data,2023-05,9,27,33,2690.89,1246.499,174,16674.82568120031,0.1551724137931034,0.1613744006351915
Synthetic portfolio data,2023-05,10,24,27,1979.81,873.384,174,16674.82568120031,0.1379310344827586,0.1187304765789603
Synthetic portfolio data,2023-05,11,30,33,1862.56,667.2915,174,16674.82568120031,0.1724137931034483,0.1116989188138803
Synthetic portfolio data,2023-05,12,33,41,3588.27,1542.1385,174,16674.82568120031,0.1896551724137931,0.2151908552810553
Synthetic portfolio data,2023-06,0,171,191,15681.98,6204.2705,171,15681.98,1.0,1.0
Synthetic portfolio data,2023-06,1,26,32,2651.9,1108.8725,171,15681.98,0.1520467836257309,0.1691049216999384
Synthetic portfolio data,2023-06,2,23,27,2713.25,1124.5865,171,15681.98,0.1345029239766081,0.1730170552442995
Synthetic portfolio data,2023-06,3,19,20,1203.2497109443643,548.3777109443645,171,15681.98,0.1111111111111111,0.0767281753289039
Synthetic portfolio data,2023-06,4,24,25,1189.71,436.825,171,15681.98,0.1403508771929824,0.0758647823807963
Synthetic portfolio data,2023-06,5,35,40,2940.87,1124.3815,171,15681.98,0.2046783625730994,0.1875318040196454
Synthetic portfolio data,2023-06,6,36,47,4063.94,1576.3835,171,15681.98,0.2105263157894736,0.2591471230036003
Synthetic portfolio data,2023-06,7,18,19,1504.59,627.3004999999999,171,15681.98,0.1052631578947368,0.0959438795356198
Synthetic portfolio data,2023-06,8,16,17,1871.88,758.4885,171,15681.98,0.0935672514619883,0.1193650291608585
Synthetic portfolio data,2023-06,9,24,27,2258.61,934.561,171,15681.98,0.1403508771929824,0.144025818168369
Synthetic portfolio data,2023-06,10,17,20,2565.24,1266.126,171,15681.98,0.0994152046783625,0.1635788337952222
Synthetic portfolio data,2023-06,11,17,20,1270.82,467.1175,171,15681.98,0.0994152046783625,0.0810369608939687
Synthetic portfolio data,2023-06,12,30,33,1515.05,528.8935,171,15681.98,0.175438596491228,0.0966108871456283
Synthetic portfolio data,2023-07,0,156,169,11997.49,4572.226,156,11997.49,1.0,1.0
Synthetic portfolio data,2023-07,1,9,10,719.75,353.741,156,11997.49,0.0576923076923076,0.0599917149337069
Synthetic portfolio data,2023-07,2,10,12,394.4,128.0375,156,11997.49,0.0641025641025641,0.0328735427160181
Synthetic portfolio data,2023-07,3,16,20,1573.45,698.091,156,11997.49,0.1025641025641025,0.1311482651787999
Synthetic portfolio data,2023-07,4,24,31,1596.32,418.8915,156,11997.49,0.1538461538461538,0.1330544972323377
Synthetic portfolio data,2023-07,5,30,37,2485.44,712.3505,156,11997.49,0.1923076923076923,0.2071633316635396
Synthetic portfolio data,2023-07,6,16,20,2428.65,1204.663,156,11997.49,0.1025641025641025,0.2024298415751961
Synthetic portfolio data,2023-07,7,20,23,1561.14,549.9475,156,11997.49,0.1282051282051282,0.1301222172304373
Synthetic portfolio data,2023-07,8,20,23,2508.9300000000003,976.3935,156,11997.49,0.1282051282051282,0.2091212411929495
Synthetic portfolio data,2023-07,9,17,19,1676.65,545.2225,156,11997.49,0.1089743589743589,0.1397500643884679
Synthetic portfolio data,2023-07,10,25,30,2490.77,939.757,156,11997.49,0.1602564102564102,0.207607591254504
Synthetic portfolio data,2023-07,11,22,26,1494.9,618.216,156,11997.49,0.141025641025641,0.124601062388883
Synthetic portfolio data,2023-07,12,24,27,2009.14,787.468,156,11997.49,0.1538461538461538,0.1674633610863605
Synthetic portfolio data,2023-08,0,110,115,8283.35,3215.052,110,8283.35,1.0,1.0
Synthetic portfolio data,2023-08,1,10,10,512.52,217.055,110,8283.35,0.0909090909090909,0.0618735173571079
Synthetic portfolio data,2023-08,2,8,8,599.8100000000001,294.4325,110,8283.35,0.0727272727272727,0.0724115243228886
Synthetic portfolio data,2023-08,3,20,23,1803.21,576.269,110,8283.35,0.1818181818181818,0.2176909100786517
Synthetic portfolio data,2023-08,4,16,19,700.84,104.9905,110,8283.35,0.1454545454545454,0.0846082804662364
Synthetic portfolio data,2023-08,5,7,8,536.44,200.223,110,8283.35,0.0636363636363636,0.0647612379049539
Synthetic portfolio data,2023-08,6,7,7,510.96,218.324,110,8283.35,0.0636363636363636,0.0616851877561614
Synthetic portfolio data,2023-08,7,7,8,564.47,220.1505,110,8283.35,0.0636363636363636,0.0681451345168319
Synthetic portfolio data,2023-08,8,8,8,647.7,293.71500000000003,110,8283.35,0.0727272727272727,0.0781930016237391
Synthetic portfolio data,2023-08,9,11,11,1660.25,506.07,110,8283.35,0.1,0.2004321922893515
Synthetic portfolio data,2023-08,10,15,17,1176.7,535.489,110,8283.35,0.1363636363636363,0.1420560522011022
Synthetic portfolio data,2023-08,11,24,27,1814.75,810.956,110,8283.35,0.2181818181818181,0.2190840662292429
Synthetic portfolio data,2023-08,12,17,18,1301.29,500.491,110,8283.35,0.1545454545454545,0.1570970682151544
Synthetic portfolio data,2023-09,0,83,90,8399.69,3632.959,83,8399.69,1.0,1.0
Synthetic portfolio data,2023-09,1,10,11,508.15,185.942,83,8399.69,0.1204819277108433,0.0604962802198652
Synthetic portfolio data,2023-09,2,16,17,939.5,301.487,83,8399.69,0.1927710843373494,0.1118493658694547
Synthetic portfolio data,2023-09,3,16,20,943.89,321.83299999999997,83,8399.69,0.1927710843373494,0.112372004204917
Synthetic portfolio data,2023-09,4,11,11,1756.38,853.8665,83,8399.69,0.1325301204819277,0.2091005739497529
Synthetic portfolio data,2023-09,5,9,11,865.06,349.49,83,8399.69,0.108433734939759,0.1029871340489946
Synthetic portfolio data,2023-09,6,9,10,241.4,100.9165,83,8399.69,0.108433734939759,0.0287391558497992
Synthetic portfolio data,2023-09,7,6,6,702.6099999999999,286.116,83,8399.69,0.072289156626506,0.0836471345966339
Synthetic portfolio data,2023-09,8,12,13,562.11,236.723,83,8399.69,0.144578313253012,0.066920326821585
Synthetic portfolio data,2023-09,9,16,18,1089.05,451.8315,83,8399.69,0.1927710843373494,0.1296535943588394
Synthetic portfolio data,2023-09,10,12,14,996.06,452.188,83,8399.69,0.144578313253012,0.1185829477040223
Synthetic portfolio data,2023-09,11,9,10,1255.56,339.3825,83,8399.69,0.108433734939759,0.1494769449824934
Synthetic portfolio data,2023-09,12,7,8,746.36,262.618,83,8399.69,0.0843373493975903,0.0888556601493626
Synthetic portfolio data,2023-10,0,95,100,8665.77,3450.501,95,8665.77,1.0,1.0
Synthetic portfolio data,2023-10,1,12,16,1561.74,463.68,95,8665.77,0.1263157894736842,0.1802194150087066
Synthetic portfolio data,2023-10,2,18,21,1152.8,421.3115,95,8665.77,0.1894736842105263,0.1330291480156985
Synthetic portfolio data,2023-10,3,6,7,281.18,136.368,95,8665.77,0.0631578947368421,0.0324472031914071
Synthetic portfolio data,2023-10,4,10,10,798.95,300.7075,95,8665.77,0.1052631578947368,0.0921960772095266
Synthetic portfolio data,2023-10,5,11,12,1763.83,730.8,95,8665.77,0.1157894736842105,0.2035399047055252
Synthetic portfolio data,2023-10,6,10,11,684.61,275.21,95,8665.77,0.1052631578947368,0.0790016351691771
Synthetic portfolio data,2023-10,7,10,10,532.89,207.332,95,8665.77,0.1052631578947368,0.0614936699220034
Synthetic portfolio data,2023-10,8,13,15,1272.01,620.1775,95,8665.77,0.1368421052631579,0.1467855712764128
Synthetic portfolio data,2023-10,9,9,11,984.78,415.09,95,8665.77,0.0947368421052631,0.1136402189303431
Synthetic portfolio data,2023-10,10,12,12,871.49,321.7785,95,8665.77,0.1263157894736842,0.1005669432722077
Synthetic portfolio data,2023-10,11,8,8,907.6,392.202,95,8665.77,0.0842105263157894,0.1047339128548299
Synthetic portfolio data,2023-10,12,9,11,675.2,228.51,95,8665.77,0.0947368421052631,0.0779157535914292
Synthetic portfolio data,2023-11,0,155,166,11002.01,3347.965,155,11002.01,1.0,1.0
Synthetic portfolio data,2023-11,1,19,23,969.38,162.601,155,11002.01,0.1225806451612903,0.0881093545633934
Synthetic portfolio data,2023-11,2,11,11,875.15,352.735,155,11002.01,0.0709677419354838,0.0795445559493219
Synthetic portfolio data,2023-11,3,13,14,1225.13,578.5649999999999,155,11002.01,0.0838709677419354,0.1113551069304609
Synthetic portfolio data,2023-11,4,8,8,1207.67,505.374,155,11002.01,0.0516129032258064,0.1097681241882165
Synthetic portfolio data,2023-11,5,12,13,1388.32,660.956,155,11002.01,0.0774193548387096,0.1261878511290209
Synthetic portfolio data,2023-11,6,12,13,1106.16,416.167,155,11002.01,0.0774193548387096,0.1005416283024647
Synthetic portfolio data,2023-11,7,13,14,1052.14,369.3165,155,11002.01,0.0838709677419354,0.0956316164046388
Synthetic portfolio data,2023-11,8,19,22,2731.43,1122.07,155,11002.01,0.1225806451612903,0.248266453129928
Synthetic portfolio data,2023-11,9,6,7,1013.31,408.893,155,11002.01,0.0387096774193548,0.0921022613140689
Synthetic portfolio data,2023-11,10,12,13,1151.15,468.46,155,11002.01,0.0774193548387096,0.1046308810844564
Synthetic portfolio data,2023-11,11,19,22,2563.96,1028.5155,155,11002.01,0.1225806451612903,0.2330446891068086
Synthetic portfolio data,2023-11,12,22,25,1843.38,677.794,155,11002.01,0.1419354838709677,0.1675493841579856
Synthetic portfolio data,2023-12,0,151,170,10399.2,3332.6125,151,10399.2,1.0,1.0
Synthetic portfolio data,2023-12,1,14,14,1134.87,430.892,151,10399.2,0.0927152317880794,0.1091305100392337
Synthetic portfolio data,2023-12,2,10,11,943.43,359.168,151,10399.2,0.0662251655629139,0.0907214016462804
Synthetic portfolio data,2023-12,3,15,17,1313.77,590.8805,151,10399.2,0.0993377483443708,0.1263337564428032
Synthetic portfolio data,2023-12,4,14,17,1948.59,719.98,151,10399.2,0.0927152317880794,0.1873788368336025
Synthetic portfolio data,2023-12,5,15,17,746.42,256.178,151,10399.2,0.0993377483443708,0.071776675128856
Synthetic portfolio data,2023-12,6,17,18,1570.73,721.9825,151,10399.2,0.1125827814569536,0.1510433494884221
Synthetic portfolio data,2023-12,7,11,13,1031.29,397.418,151,10399.2,0.0728476821192053,0.0991701284714208
Synthetic portfolio data,2023-12,8,16,16,1508.98,727.847,151,10399.2,0.1059602649006622,0.1451053927225171
Synthetic portfolio data,2023-12,9,17,17,1345.96,556.437,151,10399.2,0.1125827814569536,0.1294291868605277
Synthetic portfolio data,2023-12,10,15,16,1689.97,809.76,151,10399.2,0.0993377483443708,0.1625096161243172
Synthetic portfolio data,2023-12,11,28,29,1403.39,322.2475,151,10399.2,0.1854304635761589,0.1349517270559273
Synthetic portfolio data,2023-12,12,23,28,1728.11,470.931,151,10399.2,0.152317880794702,0.1661772059389183
Synthetic portfolio data,2024-01,0,82,83,6225.8099999999995,2626.2065,82,6225.8099999999995,1.0,1.0
Synthetic portfolio data,2024-01,1,3,3,153.35,61.870000000000005,82,6225.8099999999995,0.0365853658536585,0.0246313331116754
Synthetic portfolio data,2024-01,2,8,9,839.69,279.52,82,6225.8099999999995,0.0975609756097561,0.1348724101763465
Synthetic portfolio data,2024-01,3,7,7,536.77,200.634,82,6225.8099999999995,0.0853658536585365,0.086216893866019
Synthetic portfolio data,2024-01,4,3,4,439.92,154.288,82,6225.8099999999995,0.0365853658536585,0.0706606851156717
Synthetic portfolio data,2024-01,5,8,8,588.92,209.168,82,6225.8099999999995,0.0975609756097561,0.0945933139623599
Synthetic portfolio data,2024-01,6,7,9,537.54,238.314,82,6225.8099999999995,0.0853658536585365,0.0863405725520052
Synthetic portfolio data,2024-01,7,5,6,1078.73,509.742,82,6225.8099999999995,0.0609756097560975,0.1732674141999194
Synthetic portfolio data,2024-01,8,7,8,1164.3,417.046,82,6225.8099999999995,0.0853658536585365,0.1870118105114033
Synthetic portfolio data,2024-01,9,3,3,726.59,200.2,82,6225.8099999999995,0.0365853658536585,0.1167060992866791
Synthetic portfolio data,2024-01,10,4,6,476.55,185.3925,82,6225.8099999999995,0.048780487804878,0.0765442568918743
Synthetic portfolio data,2024-01,11,16,18,1134.82,310.9165,82,6225.8099999999995,0.1951219512195122,0.1822766836765015
Synthetic portfolio data,2024-01,12,3,3,227.77,98.98,82,6225.8099999999995,0.0365853658536585,0.0365847978014105
Synthetic portfolio data,2024-02,0,65,66,6321.91,2610.6115,65,6321.91,1.0,1.0
Synthetic portfolio data,2024-02,1,3,3,113.07,54.879999999999995,65,6321.91,0.0461538461538461,0.0178854175399523
Synthetic portfolio data,2024-02,2,5,8,488.86,50.075,65,6321.91,0.0769230769230769,0.0773278961579649
Synthetic portfolio data,2024-02,3,8,9,583.3100000000001,208.5745,65,6321.91,0.123076923076923,0.0922680012844219
Synthetic portfolio data,2024-02,4,7,9,1882.8,571.896,65,6321.91,0.1076923076923077,0.2978213862582669
Synthetic portfolio data,2024-02,5,6,7,968.0254726427378,729.1549726427378,65,6321.91,0.0923076923076923,0.1531223115550107
Synthetic portfolio data,2024-02,6,6,6,934.4,345.83,65,6321.91,0.0923076923076923,0.1478034328233081
Synthetic portfolio data,2024-02,7,6,7,1069.21,383.0700000000001,65,6321.91,0.0923076923076923,0.1691276845130664
Synthetic portfolio data,2024-02,8,8,10,565.88,179.5625,65,6321.91,0.123076923076923,0.0895109231229169
Synthetic portfolio data,2024-02,9,11,14,641.54,217.698,65,6321.91,0.1692307692307692,0.1014788252284515
Synthetic portfolio data,2024-02,10,15,17,886.26,343.695,65,6321.91,0.2307692307692307,0.1401886455201039
Synthetic portfolio data,2024-02,11,6,7,543.13,241.314,65,6321.91,0.0923076923076923,0.0859123271289847
Synthetic portfolio data,2024-02,12,4,6,388.3,127.468,65,6321.91,0.0615384615384615,0.061421310964566
Synthetic portfolio data,2024-03,0,59,60,4518.81,1843.885,59,4518.81,1.0,1.0
Synthetic portfolio data,2024-03,1,4,4,486.34,178.39999999999998,59,4518.81,0.0677966101694915,0.1076256802122682
Synthetic portfolio data,2024-03,2,3,3,236.65,108.8175,59,4518.81,0.0508474576271186,0.0523699823626131
Synthetic portfolio data,2024-03,3,3,3,211.23,63.553,59,4518.81,0.0508474576271186,0.0467446075404807
Synthetic portfolio data,2024-03,4,7,9,667.4300000000001,213.5345,59,4518.81,0.1186440677966101,0.1477003901469634
Synthetic portfolio data,2024-03,5,5,6,314.78999999999996,99.6575,59,4518.81,0.0847457627118644,0.0696621455648721
Synthetic portfolio data,2024-03,6,3,3,100.55,34.9585,59,4518.81,0.0508474576271186,0.0222514334526125
Synthetic portfolio data,2024-03,7,3,4,315.01,155.62099999999998,59,4518.81,0.0508474576271186,0.069710830948856
Synthetic portfolio data,2024-03,8,9,11,429.32,78.849,59,4518.81,0.1525423728813559,0.0950073138724575
Synthetic portfolio data,2024-03,9,7,7,359.72,139.18,59,4518.81,0.1186440677966101,0.0796050287575711
Synthetic portfolio data,2024-03,10,3,4,340.27,120.37,59,4518.81,0.0508474576271186,0.0753007982190001
Synthetic portfolio data,2024-03,11,4,4,127.71,55.916,59,4518.81,0.0677966101694915,0.028261865402617
Synthetic portfolio data,2024-03,12,7,7,610.26,249.4215,59,4518.81,0.1186440677966101,0.1350488292271637
Synthetic portfolio data,2024-04,0,45,48,3393.22,1490.1125,45,3393.22,1.0,1.0
Synthetic portfolio data,2024-04,1,7,8,1768.69,774.39,45,3393.22,0.1555555555555555,0.5212423597644715
Synthetic portfolio data,2024-04,2,6,6,456.61,139.36,45,3393.22,0.1333333333333333,0.1345653980584813
Synthetic portfolio data,2024-04,3,5,5,302.15,177.2815,45,3393.22,0.1111111111111111,0.0890452136908305
Synthetic portfolio data,2024-04,4,4,4,372.68,171.325,45,3393.22,0.0888888888888888,0.1098307802028751
Synthetic portfolio data,2024-04,5,3,3,365.21,158.42549999999997,45,3393.22,0.0666666666666666,0.1076293314315016
Synthetic portfolio data,2024-04,6,3,3,129.22,70.34,45,3393.22,0.0666666666666666,0.038081821986196
Synthetic portfolio data,2024-04,7,7,9,716.66,232.19,45,3393.22,0.1555555555555555,0.211203517602749
Synthetic portfolio data,2024-04,8,8,10,460.67,147.6445,45,3393.22,0.1777777777777777,0.1357619016745156
Synthetic portfolio data,2024-04,9,1,1,182.87,67.27,45,3393.22,0.0222222222222222,0.0538927626266496
Synthetic portfolio data,2024-04,10,4,6,521.0,190.442,45,3393.22,0.0888888888888888,0.1535414738802671
Synthetic portfolio data,2024-04,11,3,3,282.29999999999995,95.08,45,3393.22,0.0666666666666666,0.0831953130065247
Synthetic portfolio data,2024-04,12,4,4,184.93,73.2,45,3393.22,0.0888888888888888,0.0544998555943911
Synthetic portfolio data,2024-05,0,53,55,5173.45,2273.478,53,5173.45,1.0,1.0
Synthetic portfolio data,2024-05,1,2,2,277.15,59.178,53,5173.45,0.0377358490566037,0.0535716011559017
Synthetic portfolio data,2024-05,2,1,1,39.81,13.69,53,5173.45,0.0188679245283018,0.0076950584232958
Synthetic portfolio data,2024-05,3,3,3,197.01,86.01,53,5173.45,0.0566037735849056,0.0380809711121205
Synthetic portfolio data,2024-05,4,1,1,21.36,11.34,53,5173.45,0.0188679245283018,0.0041287728691685
Synthetic portfolio data,2024-05,5,1,1,120.58,59.92,53,5173.45,0.0188679245283018,0.0233074640713643
Synthetic portfolio data,2024-05,6,7,7,831.76,304.02,53,5173.45,0.1320754716981132,0.160774724796799
Synthetic portfolio data,2024-05,7,4,4,224.94,73.77000000000001,53,5173.45,0.0754716981132075,0.0434796895688563
Synthetic portfolio data,2024-05,8,3,3,167.61,86.032,53,5173.45,0.0566037735849056,0.0323981095787144
Synthetic portfolio data,2024-05,9,2,2,85.92,32.39,53,5173.45,0.0377358490566037,0.0166078728894644
Synthetic portfolio data,2024-05,10,3,3,211.54,107.62,53,5173.45,0.0566037735849056,0.040889541795127
Synthetic portfolio data,2024-06,0,42,43,3059.4,1280.108,42,3059.4,1.0,1.0
Synthetic portfolio data,2024-06,1,3,3,165.74,69.5475,42,3059.4,0.0714285714285714,0.054174021049879
Synthetic portfolio data,2024-06,2,3,3,42.7,1.376999999999999,42,3059.4,0.0714285714285714,0.0139569850297443
Synthetic portfolio data,2024-06,3,4,4,42.05,-3.8195000000000014,42,3059.4,0.0952380952380952,0.0137445250702752
Synthetic portfolio data,2024-06,4,1,1,35.43,16.23,42,3059.4,0.0238095238095238,0.0115807020984506
Synthetic portfolio data,2024-06,5,8,9,608.2,204.3,42,3059.4,0.1904761904761904,0.1987971497679283
Synthetic portfolio data,2024-06,6,1,1,50.15,26.43,42,3059.4,0.0238095238095238,0.0163921030267372
Synthetic portfolio data,2024-06,7,2,2,313.96,147.26,42,3059.4,0.0476190476190476,0.1026214290383735
Synthetic portfolio data,2024-06,8,2,2,328.35,10.422,42,3059.4,0.0476190476190476,0.107324965679545
Synthetic portfolio data,2024-06,9,2,2,39.42,16.330000000000002,42,3059.4,0.0476190476190476,0.0128848793881153
Synthetic portfolio data,2024-06,10,1,1,49.2,27.2,42,3059.4,0.0238095238095238,0.0160815846244361
Synthetic portfolio data,2024-06,11,2,2,168.79999999999998,29.58,42,3059.4,0.0476190476190476,0.0551742171667647
Synthetic portfolio data,2024-06,12,1,2,260.92,134.53,42,3059.4,0.0238095238095238,0.0852846963456887
Synthetic portfolio data,2024-07,0,67,73,5932.68,2199.717,67,5932.68,1.0,1.0
Synthetic portfolio data,2024-07,1,4,4,213.91,84.01750000000001,67,5932.68,0.0597014925373134,0.0360562174261885
Synthetic portfolio data,2024-07,2,3,3,55.599999999999994,10.7755,67,5932.68,0.044776119402985,0.0093718184698989
Synthetic portfolio data,2024-07,3,1,1,18.54,4.96,67,5932.68,0.0149253731343283,0.0031250632092073
Synthetic portfolio data,2024-07,4,9,10,1016.78,118.5775,67,5932.68,0.1343283582089552,0.1713862874788459
Synthetic portfolio data,2024-07,5,7,7,753.05,202.86,67,5932.68,0.1044776119402985,0.1269325161647012
Synthetic portfolio data,2024-07,6,4,4,170.20999999999998,91.362,67,5932.68,0.0597014925373134,0.0286902378014657
Synthetic portfolio data,2024-07,7,2,2,180.44,93.97,67,5932.68,0.0298507462686567,0.0304145849767727
Synthetic portfolio data,2024-07,8,6,6,205.75,61.105,67,5932.68,0.0895522388059701,0.0346807850752105
Synthetic portfolio data,2024-07,9,4,5,468.03,149.32049999999998,67,5932.68,0.0597014925373134,0.0788901474544388
Synthetic portfolio data,2024-07,10,5,6,705.2900000000001,274.5355,67,5932.68,0.0746268656716417,0.1188821915222125
Synthetic portfolio data,2024-07,11,3,3,324.58,144.4295,67,5932.68,0.044776119402985,0.0547105186863272
Synthetic portfolio data,2024-07,12,10,10,716.24,300.075,67,5932.68,0.1492537313432835,0.1207279003755469
Synthetic portfolio data,2024-08,0,56,61,4655.15,1809.118,56,4655.15,1.0,1.0
