"Name","Version","License","URL"
"greenlet","3.5.5","MIT AND PSF-2.0","https://greenlet.readthedocs.io"
"h11","0.16.0","MIT License","https://github.com/python-hyper/h11"
"httpcore","1.0.9","BSD-3-Clause","https://www.encode.io/httpcore/"
"httptools","0.8.0","MIT","https://github.com/MagicStack/httptools"
"httpx","0.28.1","BSD License","https://github.com/encode/httpx"
"idna","3.19","BSD-3-Clause","https://github.com/kjd/idna"
"importlib_metadata","8.9.0","Apache-2.0","https://github.com/python/importlib_metadata"
"iniconfig","2.3.0","MIT","https://github.com/pytest-dev/iniconfig"
"isodate","0.7.2","BSD License","https://github.com/gweis/isodate/"
"itsdangerous","2.2.0","BSD License","https://github.com/pallets/itsdangerous/"
"joblib","1.5.3","BSD-3-Clause","https://joblib.readthedocs.io"
"jsonschema","4.26.0","MIT","https://github.com/python-jsonschema/jsonschema"
"jsonschema-specifications","2025.9.1","MIT","https://github.com/python-jsonschema/jsonschema-specifications"
"kiwisolver","1.5.0","BSD License","https://github.com/nucleic/kiwi"
"leather","0.4.1","MIT License","https://leather.readthedocs.io/"
"mashumaro","3.14","Apache Software License","https://github.com/Fatal1ty/mashumaro"
"matplotlib","3.10.9","Python Software Foundation License","https://matplotlib.org"
"more-itertools","10.8.0","MIT","https://github.com/more-itertools/more-itertools"
"msgpack","1.2.1","Apache-2.0","https://msgpack.org/"
"narwhals","2.25.0","MIT","https://github.com/narwhals-dev/narwhals"
"networkx","3.6.1","BSD-3-Clause","https://networkx.org/"
"numpy","2.5.2","BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0","https://numpy.org"
"opentelemetry-api","1.44.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-api"
"orderly-set","5.5.0","MIT License","https://github.com/seperman/orderly-set"
"packaging","26.3","Apache-2.0 OR BSD-2-Clause","https://github.com/pypa/packaging"
"pandas","2.3.3","BSD License","https://pandas.pydata.org"
"parsedatetime","2.6","Apache Software License","https://github.com/bear/parsedatetime"
"pathspec","0.12.1","Mozilla Public License 2.0 (MPL 2.0)","UNKNOWN"
"patsy","1.0.2","BSD License","https://github.com/pydata/patsy"
"pillow","12.3.0","MIT-CMU","https://python-pillow.github.io"
"pluggy","1.6.0","MIT License","UNKNOWN"
"protobuf","6.33.6","3-Clause BSD License","https://developers.google.com/protocol-buffers/"
"psycopg2-binary","2.9.12","GNU Library or Lesser General Public License (LGPL)","https://psycopg.org/"
"pyarrow","25.0.1","Apache-2.0","https://arrow.apache.org/"
"pydantic","2.13.4","MIT","https://github.com/pydantic/pydantic"
"pydantic_core","2.46.4","MIT","https://github.com/pydantic/pydantic"
"pydeck","0.9.3","Apache License 2.0","https://github.com/visgl/deck.gl/tree/master/bindings/pydeck"
"pyparsing","3.3.2","MIT","https://github.com/pyparsing/pyparsing/"
"pytest","9.1.1","MIT","https://docs.pytest.org/en/latest/"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"python-multipart","0.0.32","Apache-2.0","https://github.com/Kludex/python-multipart"
"python-slugify","8.0.4","MIT License","https://github.com/un33k/python-slugify"
"pytimeparse","1.1.8","MIT License","https://github.com/wroberts/pytimeparse"
"pytz","2026.3.post1","MIT License","http://pythonhosted.org/pytz"
"referencing","0.37.0","MIT","https://github.com/python-jsonschema/referencing"
"requests","2.34.2","Apache Software License","https://github.com/psf/requests"
"rpds-py","2026.6.3","MIT","https://github.com/crate-py/rpds"
"ruff","0.15.22","MIT","https://docs.astral.sh/ruff"
"scikit-learn","1.7.2","BSD-3-Clause","https://scikit-learn.org"
"scipy","1.16.3","BSD License","https://scipy.org/"
"seaborn","0.13.2","BSD License","https://github.com/mwaskom/seaborn"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"snowplow-tracker","1.1.0","Apache Software License","http://snowplow.io"
"sqlparse","0.6.0","BSD License","https://github.com/andialbrecht/sqlparse"
"starlette","0.52.1","BSD-3-Clause","https://github.com/Kludex/starlette"
"statsmodels","0.14.6","BSD License","https://www.statsmodels.org/"
"streamlit","1.62.0","Apache-2.0","https://streamlit.io"
"text-unidecode","1.3","Artistic License; GNU General Public License (GPL); GNU General Public License v2 or later (GPLv2+)","https://github.com/kmike/text-unidecode/"
"threadpoolctl","3.6.0","BSD License","https://github.com/joblib/threadpoolctl"
"toml","0.10.2","MIT License","https://github.com/uiri/toml"
"typing-inspection","0.4.4","MIT","https://github.com/pydantic/typing-inspection"
"typing_extensions","4.16.0","PSF-2.0","https://github.com/python/typing_extensions"
"tzdata","2026.3","Apache-2.0","https://github.com/python/tzdata"
"urllib3","2.7.0","MIT","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"uvicorn","0.35.0","BSD-3-Clause","https://www.uvicorn.org/"
"watchdog","6.0.0","Apache Software License","https://github.com/gorakhargosh/watchdog"
"websockets","16.1.1","BSD-3-Clause","https://github.com/python-websockets/websockets"
"zipp","4.1.0","MIT","https://github.com/jaraco/zipp"
